-0.000114625	0.000137637	1.03669e-10	
-0.000566445	0.00144896	-5.25029e-06	
-0.00131949	0.00363449	-2.09994e-05	
-0.00237376	0.00669424	-4.7241e-05	
-0.00372929	0.0106282	-8.39664e-05	
-0.00538609	0.0154364	-0.000131164	
-0.00734419	0.0211188	-0.000188821	
-0.00960362	0.0276754	-0.000256921	
-0.0121644	0.0351062	-0.000335445	
-0.0150266	0.0434112	-0.000424371	
-0.0181903	0.0525904	-0.000523677	
-0.0216554	0.0626439	-0.000633336	
-0.0254222	0.0735715	-0.00075332	
-0.0294905	0.0853733	-0.000883597	
-0.0338605	0.0980494	-0.00102413	
-0.0385323	0.1116	-0.00117489	
-0.043506	0.126024	-0.00133584	
-0.0487815	0.141323	-0.00150693	
-0.054359	0.157495	-0.00168812	
-0.0602386	0.174542	-0.00187937	
-0.0664204	0.192464	-0.00208062	
-0.0729045	0.211259	-0.00229182	
-0.0796909	0.230928	-0.00251293	
-0.0867798	0.251472	-0.00274389	
-0.0941714	0.27289	-0.00298463	
-0.101866	0.295182	-0.00323509	
-0.109863	0.318348	-0.00349522	
-0.118163	0.342388	-0.00376495	
-0.126766	0.367302	-0.00404421	
-0.135672	0.393091	-0.00433292	
-0.144882	0.419753	-0.00463101	
-0.154395	0.44729	-0.00493842	
-0.164212	0.4757	-0.00525505	
-0.174333	0.504985	-0.00558084	
-0.184758	0.535144	-0.00591569	
-0.195487	0.566176	-0.00625951	
-0.20652	0.598083	-0.00661223	
-0.217857	0.630864	-0.00697376	
-0.2295	0.664518	-0.00734398	
-0.241447	0.699047	-0.00772282	
-0.253699	0.734449	-0.00811018	
-0.266256	0.770725	-0.00850594	
-0.279119	0.807875	-0.00891002	
-0.292287	0.845899	-0.0093223	
-0.305762	0.884797	-0.00974267	
-0.319542	0.924568	-0.010171	
-0.333628	0.965213	-0.0106073	
-0.348021	1.00673	-0.0110512	
-0.36272	1.04912	-0.0115029	
-0.377727	1.09239	-0.011962	
-0.39304	1.13653	-0.0124285	
-0.408661	1.18154	-0.0129023	
-0.424589	1.22743	-0.0133833	
-0.440825	1.27419	-0.0138712	
-0.457369	1.32182	-0.0143661	
-0.474222	1.37033	-0.0148676	
-0.491383	1.41971	-0.0153758	
-0.508852	1.46996	-0.0158905	
-0.526631	1.52108	-0.0164114	
-0.544719	1.57308	-0.0169385	
-0.563117	1.62595	-0.0174717	
-0.581824	1.6797	-0.0180107	
-0.600842	1.73431	-0.0185555	
-0.620169	1.7898	-0.0191058	
-0.639808	1.84616	-0.0196615	
-0.659757	1.9034	-0.0202225	
-0.680018	1.9615	-0.0207886	
-0.70059	2.02048	-0.0213596	
-0.721474	2.08033	-0.0219353	
-0.74267	2.14105	-0.0225156	
-0.764179	2.20265	-0.0231004	
-0.786	2.26511	-0.0236893	
-0.808134	2.32845	-0.0242824	
-0.830582	2.39266	-0.0248793	
-0.853343	2.45774	-0.0254799	
-0.876418	2.52369	-0.026084	
-0.899807	2.59051	-0.0266914	
-0.92351	2.65821	-0.0273019	
-0.947529	2.72677	-0.0279154	
-0.971863	2.7962	-0.0285317	
-0.996512	2.86651	-0.0291505	
-1.02148	2.93768	-0.0297716	
-1.04676	3.00972	-0.0303949	
-1.07236	3.08264	-0.0310201	
-1.09827	3.15642	-0.0316471	
-1.1245	3.23107	-0.0322756	
-1.15105	3.30659	-0.0329053	
-1.17792	3.38298	-0.0335362	
-1.2051	3.46024	-0.034168	
-1.23261	3.53836	-0.0348004	
-1.26043	3.61736	-0.0354333	
-1.28857	3.69722	-0.0360663	
-1.31703	3.77795	-0.0366994	
-1.34582	3.85954	-0.0373322	
-1.37492	3.94201	-0.0379646	
-1.40434	4.02534	-0.0385962	
-1.43408	4.10953	-0.0392269	
-1.46415	4.19459	-0.0398564	
-1.49453	4.28052	-0.0404844	
-1.52524	4.36731	-0.0411108	
-1.55627	4.45497	-0.0417353	
-1.58763	4.54349	-0.0423576	
-1.6193	4.63287	-0.0429775	
-1.6513	4.72312	-0.0435948	
-1.68363	4.81423	-0.044209	
-1.71628	4.90621	-0.0448202	
-1.74925	4.99904	-0.0454278	
-1.78255	5.09274	-0.0460318	
-1.81617	5.1873	-0.0466318	
-1.85012	5.28273	-0.0472275	
-1.8844	5.37901	-0.0478187	
-1.919	5.47615	-0.0484051	
